15-2377,Heatwave,Boogie Nights / Always And Forever,Epic,"7"", RE",3,1977,1245193,"Disco, No-Wave & Pop",2011-07-30 08:03:38,,,
EVO002,Reload,Autoreload EP,Evolution / Universal Language Productions Ltd.,"12"", EP",5,1992,4052,Techno,,,,
EXLP0001,RYU,Ga,Exceptional,"2xLP, Album",4,2000,244002,Hip Hop,,,,
88697671187,Jimi Hendrix,Bleeding Heart,"Experience Hendrix, Legacy","7"", Single, Ltd",4,2010,2180598,Rock,2010-05-25 04:35:01,,,
F.0014,Steve Roden,(For),Fällt,"CD, Mini, Ltd",3,2000,43962,Avantgarde,,,,
FAC 73,New Order,Blue Monday,Factory,"12"", Single",4,1983,20755,"Disco, No-Wave & Pop",,,,
FAC 93,New Order,Confusion,Factory,"12""",3,1983,729471,"Disco, No-Wave & Pop",,,,
FACT 75,New Order,Power Corruption & Lies,Factory,"LP, Album",5,1983,28848,"Disco, No-Wave & Pop",,,,
fac bn 1-004,A Certain Ratio,Shack Up,"Factory Benelux, Les Disques Du Crépuscule","7"", Single",5,1980,26182,Rock,,,,
D-216,Cybotron,Clear,Fantasy,"12""",5,1983,17859,Electronic,,,,
FR21169,Alela Diane,To Be Still,Fargo Records,"CD, Album, Ltd, Dig + DVD-V",4,2009,1676977,Folk,,,,
FR21192,Alela Diane featuring Alina Hardin,Alela & Alina,Fargo Records,"10"", EP + CD, EP",4,2009,2027937,Folk,2012-01-02 14:03:52,,,
FC704,Mike Slott / Dabrye,Home / Walk,Fat City,"7""",5,2009,1735713,Electronic,,,,
FC707,D Bridge* / Devonwho,Zx Eightyone / Nimbus,Fat City,"7""",5,2009,2050078,Electronic,2010-06-02 01:38:45,,,
570 353-1,Goldie,Ring Of Saturn,FFRR,3xLP,4,1998,10376,"Rave, Jungle & Drum'n'bass",,,,
697 120 098-1,Various,Metalheadz Presents Platinum Breaks,FFRR,"12"", Smplr",5,1996,97732,"Rave, Jungle & Drum'n'bass",,,,
697-124 073-2,Goldie,Timeless,FFRR,"CD, Album",5,1995,140303,"Rave, Jungle & Drum'n'bass",2010-03-15 05:19:47,,,
857 843-2,Goldie,Inner City Life,FFRR,"CD, Maxi",5,1994,72780,"Rave, Jungle & Drum'n'bass",,,,
"828 990-2, 828990.2, 828 990.2",Goldie,Saturnz Return,"FFRR, FFRR, FFRR","2xCD, Album",4,1998,11684,"Rave, Jungle & Drum'n'bass",,,,
697 124 123-1,DJ Shadow,Endtroducing.....,"FFRR, Mo Wax","2xLP, Album",5,1996,59125,Hip Hop,,,,
832 130-1,"Cure, The",Kiss Me Kiss Me Kiss Me,Fiction Records,"2xLP, Album",5,1987,193517,Rock,2010-06-06 04:02:50,,,
"2383 605, fix6","Cure, The",Faith,"Fiction Records, Fiction Records","LP, Album",4,1981,608721,Rock,,,,
827 231-1,"Cure, The",The Head On The Door,"Fiction Records, Polydor","LP, Album",4,1985,914421,Rock,,,,
"none, TN088","Gaslamp Killer, The",All Killer: Finders Keepers Records 1-20 Mixed By The Gaslamp Killer,"Finders Keepers Records, Twisted Nerve","CD, Mixed",4,2009,1800506,Mixes,2009-10-12 08:55:10,,,
FRG-10,Bango,Sphinx / Mystical Adventure,Fragile Records,"12""",4,1994,4552,Techno,,,,
FRE-80123,EPMD,Strictly Business,Fresh Records,"12""",4,1988,98044,Hip Hop,,,,
CD TOT 53,"Future Sound Of London, The",From The Archives Vol. 1,fsoldigital.com,"CD, Comp",4,2007,997603,Electronic,2010-05-25 04:38:55,,,
CD TOT 54,"Future Sound Of London, The",From The Archives Vol. 2,fsoldigital.com,"CD, Comp",4,2007,997605,Electronic,2010-05-25 04:39:00,,,
CD TOT 55,"Future Sound Of London, The",From The Archives Vol. 3,fsoldigital.com,"CD, Comp",4,2007,997606,Electronic,2010-05-25 04:39:07,,,
FCYLP01,Various,Music Box: A New Era In Drum & Bass,Full Cycle Records,"3x12"", Comp, Gat",4,1996,118931,"Rave, Jungle & Drum'n'bass",,,,
1734112,Sonic Youth,Daydream Nation,Geffen Records,"CD, Album, RE + CD, Comp + RM, Del",5,2007,1011514,Rock,2010-06-03 07:00:11,,,
GED 24513,Sonic Youth,EVOL,Geffen Records,"CD, Album, RE",4,1994,1894609,Rock,2010-06-02 01:41:50,,,
GED 24514,"Sonic Youth, The*",Sister,Geffen Records,"CD, Album, RE",4,1994,371557,Rock,,,,
GED 24727,Nirvana,MTV Unplugged In New York,Geffen Records,"CD, Album",4,1994,461322,Rock,2011-09-09 12:49:19,,,
"GES 99131, GEF 99 131",John Lennon & Yoko Ono,Double Fantasy,"Geffen Records, Geffen Records","LP, Album",4,1980,2116389,"Disco, No-Wave & Pop",2011-09-20 05:43:24,,,
GED24504,Nirvana,Incesticide,"Geffen Records, Sub Pop","CD, Comp",5,1992,1867768,Rock,2011-09-09 12:45:17,,,
gpr (lp) 9,Beaumont Hannant,Sculptured,General Production Recordings (GPR),"2xLP, Album",3,1994,11643,Electronic,2010-04-07 02:30:11,,,
"GENP(X) 10, GENP(X)10",Repeat,Game Shows / As We Do,"General Production Recordings (GPR), General Production Recordings (GPR)","12""",3,1992,68771,Techno,,,,
GEN P(X) 9,"Black Dog, The",Vanttool,General Production Recordings (GPR),"12""",5,1992,61276,Electronic,,,,
GONG 01,Jana Hunter,Blank Unstaring Heirs Of Doom,Gnomonsong,"CD, Album",4,2005,630212,Folk,,,,
GONG06CD,Jana Hunter,There's No Home,Gnomonsong,CD,5,2007,1365420,Folk,,,,
GONG17CD,Lower Dens,Twin Hand Movement,Gnomonsong,"CD, Album, Dig",4,2010,2419222,Rock,2011-05-27 04:44:02,,,
GODCD 142,"Pharcyde, The",Runnin',Go! Beat,"CD, Maxi",4,1996,661434,Hip Hop,,,,
CDP 7243 5 22940 2 2,Beastie Boys,Anthology:  The Sounds Of Science,"Grand Royal, Capitol Records","2xCD, Comp, Ltd, Dig",3,1999,1392922,Hip Hop,,,,
GREL 136,Gregory Isaacs,I.O.U.,Greensleeves Records,LP,3,1989,1446558,Reggae,2010-06-06 03:57:37,,,
HPCDR002,Heathen Prayers,Improvisation #2,H-P Imprint,"CDr, Mini",,2005,1040687,Avantgarde,,,,
HPCDR003,Heathen Prayers,Improvisation #3,H-P Imprint,"CDr, Mini, MiniAlbum",,2005,610143,Avantgarde,,,,
HPCDR005,Heathen Prayers,The Intimacy Of Light,H-P Imprint,"CDr, Ltd, Fan",3,2005,609855,Avantgarde,,,,
HPCDR006,Heathen Prayers,Acoustics Portrayed,H-P Imprint,"CDr, Mini, Ltd",,2006,1040697,Avantgarde,,,,
HPCDR007,Heathen Prayers,Behind The Patterns,H-P Imprint,"CDr, Ltd, Album",,2006,1041902,Avantgarde,,,,
HPCDR008,Heathen Prayers,Songs Of Moments,H-P Imprint,"CDr, Album",4,2006,1043564,Avantgarde,,,,
HPCDR011,Various,The Art Of Loren Connors,H-P Imprint,"CDr, Album, Ltd",3,2007,1043680,Avantgarde,,,,
HL49,Total Science,Facts Of Life / Lust,Hardleaders,"12""",4,2000,41378,"Rave, Jungle & Drum'n'bass",,,,
2925 508,Erik Satie,Early Piano Works Vol. 1,Harlekijn,"LP, Album",5,1975,1003978,Classical,2010-06-05 09:29:44,,,
5C 062-05 054,Pink Floyd,Obscured By Clouds,Harvest,"LP, Album",5,1972,930699,Rock,,,,
7243 8 36204 1 8,"Bionaut, The",Lush Life Electronica,Harvest,2xLP,3,1995,194803,Electronic,2014-06-10 12:03:04,,,
SHVL 795,Pink Floyd,Meddle,Harvest,"LP, Album, RP, Gat",4,1971,715579,Rock,,,,
hat[now]ART 167,Morton Feldman - Ives Ensemble,String Quartet,hat[now]ART,"CD, Album",4,2007,2329843,Classical,2010-07-12 04:48:40,,,
HBB09,Jana Hunter / Inoculist,Jana Hunter / Inoculist,HeartBreakBeat Records,"7"", Ltd, Gre",4,2009,2084445,Folk,2010-08-31 13:55:14,,,
ACK 68560-S1,Various,The Prototype Years,Higher Ground,"CD, Comp, Promo",5,1997,35569,"Rave, Jungle & Drum'n'bass",,,,
HJRLP49,Actress,Splazsh,Honest Jon's Records,"2xLP, Album",4,2010,2281630,Techno,2012-07-31 06:37:30,,,
"CDHUT 11, 0170 4 65010 2 6",Smashing Pumpkins*,Siamese Dream,"Hut Recordings, Virgin","CD, Album",4,1993,367864,Rock,,,,
HDB032,Kyle Hall,Kaychunk / You Know What I Feel,Hyperdub,"12""",5,2010,2203727,House,2010-11-30 06:24:41,,,
hdb033,Ikonika,Idiot,Hyperdub,"12""",4,2010,2230277,Electronic,2011-08-06 09:32:49,,,
